,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
1,pangkalanbuun,68.0,ID,2018-11-13,87.0,-2.68,111.62,85.63,4.27
2,mataura,0.0,NZ,2018-11-13,64.0,-46.19,168.86,60.3,8.93
3,menomonie,90.0,US,2018-11-13,56.0,44.88,-91.92,17.06,10.29
4,kodiak,1.0,US,2018-11-13,80.0,39.95,-94.76,17.06,8.05
5,almaznyy,92.0,RU,2018-11-13,89.0,48.03,40.04,27.04,17.13
6,mayo,90.0,CA,2018-11-13,92.0,63.59,-135.9,23.0,2.77
7,nelson bay,0.0,AU,2018-11-13,57.0,-32.72,152.14,77.0,16.11
8,saint-leu,20.0,RE,2018-11-13,69.0,-21.15,55.28,82.4,13.87
9,husavik,64.0,CA,2018-11-13,91.0,50.56,-96.99,13.95,6.85
10,ajdabiya,0.0,LY,2018-11-13,94.0,30.75,20.22,57.64,5.35
11,nikolskoye,90.0,RU,2018-11-13,96.0,59.7,30.79,33.8,8.95
12,vanimo,36.0,PG,2018-11-13,100.0,-2.67,141.3,83.83,5.91
13,monterey,1.0,US,2018-11-13,39.0,36.6,-121.89,51.98,3.04
14,cape town,90.0,ZA,2018-11-13,72.0,-33.93,18.42,64.4,8.05
15,marawi,92.0,PH,2018-11-13,100.0,8.0,124.29,71.86,2.89
16,lavrentiya,0.0,RU,2018-11-13,100.0,65.58,-170.99,29.61,38.34
17,faanui,80.0,PF,2018-11-13,100.0,-16.48,-151.75,75.33,10.87
18,hermanus,8.0,ZA,2018-11-13,71.0,-34.42,19.24,62.59,4.12
19,rikitea,68.0,PF,2018-11-13,100.0,-23.12,-134.97,73.39,10.38
20,palora,64.0,EC,2018-11-13,100.0,-1.7,-77.97,62.28,2.21
21,busselton,0.0,AU,2018-11-13,88.0,-33.64,115.35,68.53,9.93
22,jumla,8.0,NP,2018-11-13,61.0,29.28,82.18,40.09,1.88
23,severo-kurilsk,92.0,RU,2018-11-13,100.0,50.68,156.12,40.68,11.39
24,albany,90.0,US,2018-11-13,76.0,42.65,-73.75,42.08,6.93
25,punta arenas,75.0,CL,2018-11-13,76.0,-53.16,-70.91,48.2,14.99
26,lincoln,40.0,GB,2018-11-13,87.0,53.23,-0.54,46.4,20.8
27,westport,20.0,IE,2018-11-13,93.0,53.8,-9.52,42.8,9.17
28,bluff,0.0,AU,2018-11-13,25.0,-23.58,149.07,89.64,8.93
29,kapaa,40.0,US,2018-11-13,64.0,22.08,-159.32,75.92,16.11
30,tiksi,32.0,RU,2018-11-13,61.0,71.64,128.87,-13.06,4.5
31,tuktoyaktuk,40.0,CA,2018-11-13,76.0,69.44,-133.03,-7.61,11.41
32,norman wells,90.0,CA,2018-11-13,92.0,65.28,-126.83,14.0,4.7
33,vila franca do campo,75.0,PT,2018-11-13,88.0,37.72,-25.43,66.2,12.75
34,aklavik,90.0,CA,2018-11-13,77.0,68.22,-135.01,-0.41,13.87
35,port alfred,12.0,ZA,2018-11-13,79.0,-33.59,26.89,70.51,12.1
36,camocim,32.0,BR,2018-11-13,90.0,-2.9,-40.84,77.04,11.61
37,bethel,90.0,US,2018-11-13,96.0,60.79,-161.76,21.92,28.86
38,szentes,0.0,HU,2018-11-13,75.0,46.65,20.26,44.6,6.93
39,saint-philippe,90.0,CA,2018-11-13,92.0,45.36,-73.48,36.14,5.82
40,tilichiki,12.0,RU,2018-11-13,77.0,60.47,166.1,-11.8,3.27
41,vaini,0.0,IN,2018-11-13,25.0,15.34,74.49,88.74,5.23
42,new norfolk,0.0,AU,2018-11-13,18.0,-42.78,147.06,82.4,20.8
43,dikson,88.0,RU,2018-11-13,100.0,73.51,80.55,2.79,43.71
44,ushuaia,0.0,AR,2018-11-13,52.0,-54.81,-68.31,42.8,8.05
45,kruisfontein,64.0,ZA,2018-11-13,86.0,-34.0,24.73,65.43,21.16
46,butaritari,12.0,KI,2018-11-13,100.0,3.07,172.79,85.81,11.77
47,hithadhoo,80.0,MV,2018-11-13,99.0,-0.6,73.08,83.29,17.13
48,champerico,0.0,MX,2018-11-13,93.0,16.38,-93.6,64.89,1.88
49,lesnoye,0.0,RU,2018-11-13,79.0,51.57,42.77,13.23,10.42
50,bubaque,8.0,GW,2018-11-13,100.0,11.28,-15.83,83.34,13.18
51,tiznit,36.0,MA,2018-11-13,100.0,29.7,-9.73,54.94,3.38
52,nyurba,12.0,RU,2018-11-13,53.0,63.29,118.35,-4.42,4.12
53,ribeira grande,100.0,PT,2018-11-13,98.0,38.52,-28.7,67.63,24.7
54,cayenne,0.0,GF,2018-11-13,94.0,4.94,-52.33,75.2,5.35
55,tasiilaq,88.0,GL,2018-11-13,74.0,65.61,-37.64,30.2,9.17
56,coahuayana,0.0,MX,2018-11-13,81.0,18.62,-100.35,57.46,2.04
57,ponta do sol,76.0,BR,2018-11-13,97.0,-20.63,-46.0,64.84,4.5
58,grants pass,1.0,US,2018-11-13,15.0,42.44,-123.33,53.06,12.75
